year,month,week,weekly_max_temp
2010,3,9,36.1
2010,3,10,36.7
2010,3,11,37.2
2010,3,12,36.6
2010,3,13,33.9
2011,6,22,35.1
2011,6,23,35.2
2011,6,24,35.5
2011,6,25,36.4
2011,6,26,37.0
2012,5,18,35.4
2012,5,19,37.1
2012,5,20,37.4
2012,5,21,36.2
2012,5,22,36.4
2013,4,14,36.5
2013,4,15,36.0
2013,4,16,36.2
2013,4,17,34.8
2013,4,18,34.8
2014,4,14,37.2
2014,4,15,35.2
2014,4,16,35.6
2014,4,17,35.1
2014,4,18,34.6
2015,7,27,35.1
2015,7,28,35.5
2015,7,29,36.0
2015,7,30,34.3
2015,7,31,36.4
2016,4,13,36.0
2016,4,14,35.5
2016,4,15,36.4
2016,4,16,37.8
2016,4,17,38.0
2017,4,13,35.3
2017,4,14,37.0
2017,4,15,38.4
2017,4,16,38.8
2017,4,17,39.3
2018,4,13,35.9
2018,4,14,36.4
2018,4,15,33.9
2018,4,16,36.4
2018,4,17,37.9
2018,4,18,37.5
2019,5,18,37.7
2019,5,19,38.8
2019,5,20,38.3
2019,5,21,37.4
2019,5,22,38.3
2020,3,9,36.0
2020,3,10,36.7
2020,3,11,37.0
2020,3,12,36.6
2020,3,13,36.7
2020,3,14,35.8
2021,4,13,37.8
2021,4,14,36.4
2021,4,15,33.2
2021,4,16,34.5
2021,4,17,34.9
2022,3,9,34.9
2022,3,10,35.5
2022,3,11,34.2
2022,3,12,35.0
2022,3,13,35.2
2023,8,31,39.5
2023,8,32,38.4
2023,8,33,39.3
2023,8,34,39.4
2023,8,35,37.6
2024,4,14,39.4
2024,4,15,38.9
2024,4,16,39.0
2024,4,17,39.4
2024,4,18,38.4
